url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,clean_title,source_name,sentiment_label,sentiment_score
https://www.investopedia.com/terms/f/forward-guidance.asp,,Understanding Forward Guidance in Monetary Policy,20260110T104500Z,https://www.investopedia.com/thmb/HLnt5KUHWmGoiKSGyoMH7q-d7rE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/shutterstock_253136563-5bfc2b98c9e77c00519aa7a8.jpg,investopedia.com,English,United States,understanding forward guidance in monetary policy,investopedia.com,neutral,0.8698102831840515
https://www.fxstreet.com/news/eur-usd-steadies-near-11650-ahead-of-us-nonfarm-payrolls-202601090124,https://www.fxstreet.com/amp/news/eur-usd-steadies-near-11650-ahead-of-us-nonfarm-payrolls-202601090124,EUR / USD steadies near 1 . 1650 ahead of US Nonfarm Payrolls,20260109T034500Z,https://editorial.fxsstatic.com/images/i/EURUSD-neutral-object_Medium.png,fxstreet.com,English,China,eur  usd steadies near 1  1650 ahead of us nonfarm payrolls,fxstreet.com,negative,0.6623175144195557
https://www.fxstreet.com/news/eur-usd-slips-to-11600-as-firm-us-data-dampens-fed-easing-hopes-202601162220,https://www.fxstreet.com/amp/news/eur-usd-slips-to-11600-as-firm-us-data-dampens-fed-easing-hopes-202601162220,EUR / USD slips to 1 . 1600 as firm US data dampens Fed easing hopes,20260119T010000Z,https://editorial.fxsstatic.com/images/i/EURUSD-neutral-line_Medium.png,fxstreet.com,English,China,eur  usd slips to 1  1600 as firm us data dampens fed easing hopes,fxstreet.com,negative,0.8822309374809265
https://www.fxstreet.com/news/eur-usd-edges-above-11750-due-to-ecb-fed-policy-divergence-202601020120,https://www.fxstreet.com/amp/news/eur-usd-edges-above-11750-due-to-ecb-fed-policy-divergence-202601020120,EUR / USD edges above 1 . 1750 due to ECB - Fed policy divergence,20260102T044500Z,https://editorial.fxsstatic.com/images/i/EURUSD-bullish-line_Medium.png,fxstreet.com,English,China,eur  usd edges above 1  1750 due to ecb  fed policy divergence,fxstreet.com,positive,0.617826521396637
https://www.lemonde.fr/en/opinion/article/2026/01/24/macron-should-not-target-the-european-central-bank_6749747_23.html,,Macron should not target the European Central Bank,20260124T020000Z,https://img.lemde.fr/2026/01/21/0/0/7762/5175/1440/960/60/0/0fe4aa7_ftp-1-i3l24hxdts9j-5944069-01-06.jpg,lemonde.fr,English,France,macron should not target the european central bank,lemonde.fr,neutral,0.926594078540802
https://prospect.org/2026/01/14/trump-persecution-jerome-powell-federal-reserve-central-bank/,,Trump Persecution of Jerome Powell Is Even Crazier Than It Looks,20260114T121500Z,https://i0.wp.com/prospect.org/wp-content/uploads/2026/01/Cooper-Trump-Powell-Fed-011426.jpg?fit=2000%2C1333&ssl=1,prospect.org,English,United States,trump persecution of jerome powell is even crazier than it looks,prospect.org,negative,0.6336197853088379
https://www.fxstreet.com/news/eur-usd-softens-below-11750-after-fed-minutes-202512302316,https://www.fxstreet.com/amp/news/eur-usd-softens-below-11750-after-fed-minutes-202512302316,Euro softens below 1 . 1750 after Fed Minutes,20251231T021500Z,https://editorial.fxsstatic.com/images/i/EUR-bearish-line_Medium.png,fxstreet.com,English,China,euro softens below 1  1750 after fed minutes,fxstreet.com,negative,0.5646165013313293
https://www.fxstreet.com/news/eur-usd-slips-below-11650-as-resilient-us-labor-data-backs-dollar-202601132337,https://www.fxstreet.com/amp/news/eur-usd-slips-below-11650-as-resilient-us-labor-data-backs-dollar-202601132337,EUR / USD slips below 1 . 1650 as resilient US labor data backs Dollar,20260114T020000Z,https://editorial.fxsstatic.com/images/i/EURUSD-bearish-line_Medium.png,fxstreet.com,English,China,eur  usd slips below 1  1650 as resilient us labor data backs dollar,fxstreet.com,negative,0.8559101223945618
https://www.fxstreet.com/news/eur-usd-holds-steady-above-11650-amid-fed-independence-concerns-202601130114,https://www.fxstreet.com/amp/news/eur-usd-holds-steady-above-11650-amid-fed-independence-concerns-202601130114,Euro holds steady above 1 . 1650 amid Fed independence concerns,20260113T023000Z,https://editorial.fxsstatic.com/images/i/EUR-neutral-line_Medium.png,fxstreet.com,English,China,euro holds steady above 1  1650 amid fed independence concerns,fxstreet.com,positive,0.4997793734073639
https://www.fxstreet.com/news/eur-usd-price-forecast-looks-to-build-on-momentum-beyond-11735-confluence-202601060315,https://www.fxstreet.com/amp/news/eur-usd-price-forecast-looks-to-build-on-momentum-beyond-11735-confluence-202601060315,EUR / USD Forecast : Looks to build on strength above 1 . 1735 hurdle,20260106T043000Z,https://editorial.fxsstatic.com/images/i/EURUSD-bullish-chart_Medium.png,fxstreet.com,English,China,eur  usd forecast  looks to build on strength above 1  1735 hurdle,fxstreet.com,positive,0.9510940909385681
